Date,Order_Demand
2012-01-01,4760.537786601768
2012-02-01,4797.869006235171
2012-03-01,4647.560309610836
2012-04-01,4503.559553948162
2012-05-01,5069.122546138474
2012-06-01,4938.896517059902
2012-07-01,4914.299977424089
2012-08-01,4547.855990783411
2012-09-01,4018.9796323576506
2012-10-01,4477.001080205239
2012-11-01,4456.74592328893
2012-12-01,4771.958735440931
2013-01-01,5072.665043875466
2013-02-01,4316.825807582219
2013-03-01,4705.264125998736
2013-04-01,4890.554311563472
2013-05-01,4651.737152816822
2013-06-01,4696.175750563303
2013-07-01,4583.131097720723
2013-08-01,4752.77430972389
2013-09-01,4374.6889053098275
2013-10-01,3983.2796382302618
2013-11-01,5053.062201213944
2013-12-01,4955.223244051041
2014-01-01,4862.820351968023
2014-02-01,4539.828154167124
2014-03-01,5019.437824487121
2014-04-01,5000.38103667644
2014-05-01,5040.974517699381
2014-06-01,5216.523589685846
2014-07-01,4983.48174060529
2014-08-01,4319.314212595968
2014-09-01,4724.780600948867
2014-10-01,5003.498186832831
2014-11-01,5122.5368866521785
2014-12-01,5550.122808053375
2015-01-01,5701.752480131543
2015-02-01,4912.332854934864
2015-03-01,5481.915960673569
2015-04-01,5331.037323183548
2015-05-01,5236.323722065245
2015-06-01,5163.431108455982
2015-07-01,5408.57442358969
2015-08-01,5318.172115818663
2015-09-01,5228.155739673391
2015-10-01,4974.822097272983
2015-11-01,4669.399596192674
2015-12-01,5480.608467243511
2016-01-01,5416.990630382363
2016-02-01,4591.757036577806
2016-03-01,5398.906955213517
2016-04-01,5222.581882677528
2016-05-01,5542.872437357631
2016-06-01,5150.018942623949
2016-07-01,5773.218617403225
2016-08-01,5248.27313637253
2016-09-01,5053.258064516129
2016-10-01,5188.1141992464945
2016-11-01,5199.225151427748
2016-12-01,5353.679968076616
2017-01-01,5565.415094339623
